1.3103;1.3026
1.3053;1.2977
1.3078;1.2990
1.3136;1.3004
1.3215;1.3072
1.3201;1.3132
1.3169;1.3091
1.3161;1.3061
1.3123;1.3053
1.3109;1.3022
1.3121;1.3062
1.3082;1.3007
1.3127;1.3057
1.3121;1.3072
1.3166;1.3097
1.3211;1.3108
1.3172;1.3081
1.3119;1.3054
1.3182;1.3081
1.3315;1.3162
1.3358;1.3283
1.3402;1.3320
1.3438;1.3371
1.3426;1.3369
1.3436;1.3381
1.3501;1.3395
1.3536;1.3479
1.3517;1.3419
1.3477;1.3428
1.3496;1.3437
1.3487;1.3293
1.3354;1.3274
1.3379;1.3302
1.3373;1.3302
1.3366;1.3262
1.3410;1.3318
1.3358;1.3313
1.3386;1.3343
1.3403;1.3319
1.3415;1.3351
1.3401;1.3321
1.3353;1.3275
1.3369;1.3281
1.3401;1.3298
1.3457;1.3371
1.3441;1.3377
1.3452;1.3395
1.3433;1.3340
1.3428;1.3318
1.3359;1.3307
1.3341;1.3238
1.3339;1.3220
1.3337;1.3307
1.3324;1.3260
1.3399;1.3309
1.3492;1.3372
1.3501;1.3454
1.3526;1.3455
1.3523;1.3408
1.3629;1.3496
1.3624;1.3541
1.3672;1.3528
1.3699;1.3622
1.3687;1.3634
1.3759;1.3647
1.3742;1.3677
1.3776;1.3697
1.3795;1.3640
1.3735;1.3640
1.3753;1.3668
1.3734;1.3645
1.3772;1.3650
1.3743;1.3664
1.3723;1.3598
1.3661;1.3572
1.3643;1.3568
1.3624;1.3599
